gwa_ws,gwa_perc,sel_perc
14.3581989901,2.0015347231,2
13.5047408866,3.9998721064,4
13.0031748458,6.0014068295,6
12.6430056234,7.9997442128,8
12.3614305361,10.0012789359,10
12.1268518907,11.9996163192,12
11.9257300151,14.0011510423,14
11.7493140343,15.9994884256,16
11.5900893577,18.0010231487,18
11.4449616825,19.999360532,20
11.3090783611,22.0008952551,22
11.183088636,23.9992326384,24
11.0648265524,26.0007673616,26
10.953325716,27.9991047449,28
10.8474143607,30.000639468,30
10.7468467127,31.9989768513,32
10.6492355272,34.0005115744,34
10.554682159,35.9988489577,36
10.4628032383,38.0003836808,38
10.3743752993,39.9987210641,40
10.28838191,42.0002557872,42
10.2049740239,43.9985931705,44
10.123306637,46.0001278936,46
10.0435882562,47.9984652769,48
9.965148137,50,50
9.8879040004,52.0015347231,52
9.8117933231,53.9998721064,54
9.7367127955,56.0014068295,56
9.6624736825,57.9997442128,58
9.588776591,60.0012789359,60
9.5156135876,61.9996163192,62
9.4427729763,64.0011510423,64
9.3702495259,65.9994884256,66
9.2978250698,68.0010231487,68
9.2254583092,69.999360532,70
9.1528497808,72.0008952551,72
9.0802182286,73.9992326384,74
9.007304663,76.0007673616,76
8.9339420918,77.9991047449,78
8.8600636088,80.000639468,80
8.7857265965,81.9989768513,82
8.7108787969,84.0005115744,84
8.6354141863,85.9988489577,86
8.558504207,88.0003836808,88
8.4806234941,89.9987210641,90
8.4012504809,92.0002557872,92
8.3193753005,93.9985931705,94
8.2343815483,96.0001278936,96
8.1452697713,97.9984652769,98
8.044117018,100,100